id,created_at,updated_at,is_active,icon,parent_id,has_options,type,title,description
01KHPX62GJDWS0F9,2024-02-18 19:01:11+00,2024-02-18 19:01:13+00,true,avto.png,01KHPX62GKGX3BSS,,standard,"{""az"":""Su nəqilyyatı"",""en"":"""",""ru"":""""}","{""az"":""Su nəqilyyatı"",""en"":"""",""ru"":""""}"
01KHPX62GJH5VHNM,2024-03-06 20:11:21.586361+00,,true,,01KHPX62GK92D5C8,,standard,"{""az"":""Saçlara qulluq"",""en"":"""",""ru"":""""}","{""az"":""Saçlara qulluq"",""en"":"""",""ru"":""""}"
01KHPX62GJPW2MRA,2025-11-27 04:50:38.663072+00,,true,test,,false,,"{""az"":""test"",""en"":""test"",""ru"":""test""}","{""az"":""test"",""en"":""test"",""ru"":""test""}"
01KHPX62GK077Y2A,2024-03-07 19:29:16.112818+00,,true,,01KHPX62GKNYGMZE,,standard,"{""az"":""Turizm xidmətləri"",""en"":"""",""ru"":""""}","{""az"":""Turizm xidmətləri"",""en"":"""",""ru"":""""}"
01KHPX62GK0CR2F8,2024-03-07 19:50:36.099464+00,,true,,01KHPX62GKNSE8JP,,standard,"{""az"":""Uşaq və körpələr üçün"",""en"":"""",""ru"":""""}","{""az"":""Uşaq və körpələr üçün"",""en"":"""",""ru"":""""}"
01KHPX62GK0DCBCG,2024-03-08 19:13:40.241371+00,,true,,01KHPX62GKX8R996,,standard,"{""az"":""Digər"",""en"":"""",""ru"":""""}","{""az"":""Digər"",""en"":"""",""ru"":""""}"
01KHPX62GK0VJ7C9,2024-03-06 20:05:11.339799+00,,true,,01KHPX62GKV8E17W,,standard,"{""az"":""Mebellər"",""en"":"""",""ru"":""""}","{""az"":""Mebellər"",""en"":"""",""ru"":""""}"
01KHPX62GK10F4BM,2024-03-06 20:04:52.77206+00,,true,,01KHPX62GKV8E17W,,standard,"{""az"":"" Bijuteriya"",""en"":"""",""ru"":""""}","{""az"":""\nBijuteriya"",""en"":"""",""ru"":""""}"
01KHPX62GK10GS5E,2024-03-14 20:56:47.389247+00,,true,,01KHPX62GMCFTEV8,,standard,"{""az"":""Dodaq"",""en"":"""",""ru"":""""}","{""az"":""Dodaq\n\n\n\n\n"",""en"":"""",""ru"":""""}"
01KHPX62GK15786V,2025-09-07 17:26:30.368169+00,2025-09-07 17:28:23.351+00,true,,01KHPX62GK15786V,,standard,"{""az"":""Test kategoriya"",""en"":"""",""ru"":""""}","{""az"":""test"",""en"":"""",""ru"":""""}"
