id,created_at,updated_at,filter_id,title
01KHPX62R60VPGQ9,2024-07-11 12:52:57.956+00,,01KHPX62K8VKYAJC,"{""az"":""Yulaf çörəyi"",""en"":""Oatmeal bread"",""ru"":""Овсяный хлеб""}"
01KHPX62R63NADE2,2024-07-11 12:52:57.956+00,,01KHPX62K8VFHBHH,"{""az"":""Malina Mürəbbəsi"",""en"":""Raspberry Jam"",""ru"":""Малиновое варенье""}"
01KHPX62R641ZWJA,2024-07-11 12:52:57.956+00,,01KHPX62K82S1HC7,"{""az"":""Sarımsaq turşusu"",""en"":""Pickled garlic"",""ru"":""Маринованный чеснок""}"
01KHPX62R64J3JE5,2024-07-11 12:52:57.956+00,,01KHPX62K8W8TZ0H,"{""az"":""Meyvə konservi"",""en"":""Canned fruit"",""ru"":""Консервированные фрукты""}"
01KHPX62R65VQJHT,2024-07-11 12:52:57.956+00,,01KHPX62K82S1HC7,"{""az"":""Pomidor turşusu"",""en"":""Tomato pickle"",""ru"":""Томатный маринад""}"
01KHPX62R66199ZY,2024-07-11 12:52:57.956+00,,01KHPX62K8VKYAJC,"{""az"":""Qarabaşaq çörəyi"",""en"":""Buckwheat bread"",""ru"":""Гречневый хлеб""}"
01KHPX62R675QX9J,2024-07-11 12:52:57.956+00,,01KHPX62K82S1HC7,"{""az"":""Kələm turşusu"",""en"":""Pickled cabbage"",""ru"":""Квашеная капуста""}"
01KHPX62R68EJEEW,2024-07-11 12:52:57.956+00,,01KHPX62K8VKYAJC,"{""az"":""Tam buğda çörəyi"",""en"":""Whole wheat bread"",""ru"":""Цельнозерновой хлеб""}"
01KHPX62R68X27CQ,2024-07-11 12:52:57.956+00,,01KHPX62K8V4NZ6J,"{""az"":""Yağsız"",""en"":""Fat free"",""ru"":""Обезжиренный""}"
01KHPX62R69KV392,2024-07-11 12:52:57.956+00,,01KHPX62K8RM295M,"{""az"":""Yağsız"",""en"":""Fat free"",""ru"":""Обезжиренный""}"
01KHPX62R69NTCMV,2024-07-11 12:52:57.956+00,,01KHPX62K8FEJW5W,"{""az"":""Meyvəli"",""en"":""Fruity"",""ru"":""Фруктовый""}"
01KHPX62R6ABSGCH,2024-07-11 12:52:57.956+00,,01KHPX62K82S1HC7,"{""az"":""Duza qoyulmuş zeytun"",""en"":""Salted olives"",""ru"":""Соленые оливки""}"
01KHPX62R6AHNRJ5,2024-07-11 12:52:57.956+00,,01KHPX62K872GJ1F,"{""az"":""Çırpılmış Qaymaq"",""en"":""Whipped Cream"",""ru"":""Взбитые сливки""}"
01KHPX62R6BJ7FK2,2024-07-11 12:52:59.066154+00,,01KHPX62K6DSFSNE,"{""az"":""4"",""en"":""4"",""ru"":""4""}"
01KHPX62R6BJ90Y0,2024-07-11 12:52:57.956+00,,01KHPX62K8VHY5TR,"{""az"":""Noxudlu"",""en"":""With peas"",""ru"":""С горошком""}"
01KHPX62R6BQPWH1,2024-07-11 12:52:57.956+00,,01KHPX62K8VKYAJC,"{""az"":""Püstə çörəyi"",""en"":""Pistachio bread"",""ru"":""Фисташковый хлеб""}"
01KHPX62R6C21MJM,2024-07-11 12:52:59.066154+00,,01KHPX62K6DSFSNE,"{""az"":""3"",""en"":""3"",""ru"":""3""}"
01KHPX62R6CB59DH,2024-07-11 12:52:57.956+00,,01KHPX62K8VKYAJC,"{""az"":""Almandalı çörək"",""en"":""German bread"",""ru"":""немецкий хлеб""}"
01KHPX62R6CNN3X8,2024-07-11 12:52:57.956+00,,01KHPX62K8BSSVQF,"{""az"":""Aspartam şəkər əvəzedicisi"",""en"":""Aspartame is a sugar substitute"",""ru"":""Аспартам – заменитель сахара""}"
01KHPX62R6CPHCZA,2024-07-11 12:52:57.956+00,,01KHPX62K82S1HC7,"{""az"":""Acı bibər turşusu"",""en"":""Hot pepper pickle"",""ru"":""Рассол из острого перца""}"
01KHPX62R6DB12V6,2024-07-11 12:52:57.956+00,,01KHPX62K8VKYAJC,"{""az"":""Tam taxıl çörəyi"",""en"":""Whole grain bread"",""ru"":""Хлеб из цельной зерна""}"
01KHPX62R6DEP9AN,2024-07-11 12:52:57.956+00,,01KHPX62K8W8TZ0H,"{""az"":""Ət konservi"",""en"":""Canned meat"",""ru"":""Консервы мясные""}"
01KHPX62R6E16WD4,2024-07-11 12:52:57.956+00,,01KHPX62K8VFHBHH,"{""az"":""Şaftalı Mürəbbəsi"",""en"":""Peach Jam"",""ru"":""Персиковое варенье""}"
01KHPX62R6F1F42P,2024-07-11 12:52:57.956+00,,01KHPX62K8VKYAJC,"{""az"":""Qlütensiz çörəklər"",""en"":""Gluten-free breads"",""ru"":""Безглютеновый хлеб""}"
01KHPX62R6GE8D8M,2024-07-11 12:52:57.956+00,,01KHPX62K872GJ1F,"{""az"":""Yağlı Qaymaq"",""en"":""Fatty Cream"",""ru"":""Жирный крем""}"
01KHPX62R6GW7NHR,2024-07-11 12:52:57.956+00,,01KHPX62K8FEJW5W,"{""az"":""Şakalad qırıntılı"",""en"":""Chocolate crumble"",""ru"":""Шоколадный крамбль""}"
01KHPX62R6J0X0YB,2024-07-11 12:52:57.956+00,,01KHPX62K8VHY5TR,"{""az"":""Sadə"",""en"":""Simple"",""ru"":""Простой""}"
01KHPX62R6J858K4,2024-07-11 12:52:57.956+00,,01KHPX62K8W8TZ0H,"{""az"":""Balıq konservi"",""en"":""Canned fish"",""ru"":""Консервированная рыба""}"
01KHPX62R6JQHSV9,2024-07-11 12:52:57.956+00,,01KHPX62K8BSSVQF,"{""az"":""Eritritol şəkər əvəzedicisi"",""en"":""Erythritol is a sugar substitute"",""ru"":""Эритрит – заменитель сахара.""}"
01KHPX62R6K8T92J,2024-07-11 12:52:57.956+00,,01KHPX62K8BSSVQF,"{""az"":""Digər"",""en"":""Other"",""ru"":""Другой""}"
01KHPX62R6KQZW6C,2024-07-11 12:52:57.956+00,,01KHPX62K8VFHBHH,"{""az"":""Feyxua Mürəbbəsi"",""en"":""Feihua Jam"",""ru"":""Фейхуа Джем""}"
01KHPX62R6MQDDCT,2024-07-11 12:52:57.956+00,,01KHPX62K8VKYAJC,"{""az"":""Digər"",""en"":""Other"",""ru"":""Другой""}"
01KHPX62R6N9VG2N,2024-07-11 12:52:57.956+00,,01KHPX62K82S1HC7,"{""az"":""Qarışıq turşu"",""en"":""Mixed acid"",""ru"":""Смешанная кислота""}"
01KHPX62R6NQXS2Y,2024-07-11 12:52:57.956+00,,01KHPX62K80RR2MG,"{""az"":""Sadə"",""en"":""Simple"",""ru"":""Простой""}"
01KHPX62R6P4SXCV,2024-07-11 12:52:57.956+00,,01KHPX62K82S1HC7,"{""az"":""Digər"",""en"":""Other"",""ru"":""Другой""}"
01KHPX62R6PBV60W,2024-07-11 12:52:57.956+00,,01KHPX62K8RM295M,"{""az"":""Az yağlı"",""en"":""Low fat"",""ru"":""С низким содержанием жира""}"
01KHPX62R6Q0A21Z,2024-07-11 12:52:57.956+00,,01KHPX62K8RM295M,"{""az"":""Yağlı"",""en"":""Oily"",""ru"":""жирный""}"
01KHPX62R6QKBWFC,2024-07-11 12:52:57.956+00,,01KHPX62K8VFHBHH,"{""az"":""Qarpız Mürəbbəsi"",""en"":""Watermelon Jam"",""ru"":""Арбузное варенье""}"
01KHPX62R6R0DQ60,2024-07-11 12:52:57.956+00,,01KHPX62K8V4NZ6J,"{""az"":""Yağlı"",""en"":""Oily"",""ru"":""жирный""}"
